Time,8564Left,8564Right,8565Left,8565Right,8566Left,8566Right,8568Left,8568Right,8569Left,8569Right,8570Left,8570Right,8571Left,8571Right,8575Left,8575Right,8576Left,8576Right,8577Left,8577Right,8578Left,8578Right,8579Left,8579Right,8580Left,8580Right,8584Left,8584Right,8587Left,8587Right,8588Left,8588Right,8589Left,8589Right,8590Left,8590Right,8591Left,8591Right,8592Left,8592Right,8593Left,8593Right,8594Left,8594Right,8595Left,8595Right,8596Left,8596Right,8597Left,8597Right,8599Left,8599Right,8603Left,8603Right,8604Left,8604Right,8605Left,8605Right,8606Left,8606Right,8607Left,8607Right,8608Left,8608Right,8609Left,8609Right,8610Left,8610Right,8611Left,8611Right,8612Left,8612Right,8613Left,8613Right,8614Left,8614Right,8615Left,8615Right,8616Left,8616Right,8617Left,8617Right,8618Left,8618Right,8619Left,8619Right,8621Left,8621Right,8622Left,8622Right,8623Left,8623Right,8624Left,8624Right,8625Left,8625Right,8627Left,8627Right,8628Left,8628Right,8629Left,8629Right,8630Left,8630Right,8631Left,8631Right,8632Left,8632Right,8633Left,8633Right,8634Left,8634Right,8635Left,8635Right,8636Left,8636Right,8637Left,8637Right,8638Left,8638Right,8639Left,8639Right,8640Left,8640Right,8641Left,8641Right,8643Left,8643Right,8644Left,8644Right,8645Left,8645Right,8648Left,8648Right,8649Left,8649Right,8650Left,8650Right,8651Left,8651Right,8652Left,8652Right,8653Left,8653Right,8654Left,8654Right,8656Left,8656Right,8657Left,8657Right,8658Left,8658Right
0,-82,-82,-88,-87,-89,-88,-66,-65,-69,-68,-68,-67,-67,-66,-75,-74,-78,-78,-80,-79,-83,-84,-89,-88,-89,-89,-65,-65,-64,-63,-69,-68,-67,-66,-75,-74,-75,-75,-72,-72,-78,-78,-85,-85,-85,-85,-87,-86,-84,-84,-65,-65,-66,-65,-69,-69,-85,-85,-83,-82,-88,-88,-63,-63,-68,-67,-69,-68,-68,-68,-73,-73,-79,-78,-78,-77,-65,-64,-67,-66,-64,-63,-81,-81,-86,-86,-85,-84,-85,-85,-88,-87,-88,-87,-63,-63,-65,-64,-69,-69,-75,-75,-79,-78,-77,-76,-65,-65,-69,-68,-68,-67,-86,-86,-85,-84,-87,-87,-86,-85,-82,-82,-89,-88,-88,-88,-65,-65,-69,-68,-68,-67,-84,-83,-89,-89,-85,-84,-67,-67,-64,-64,-70,-69,-67,-66,-65,-64,-69,-68,-69,-68
100,-82,-82,-88,-87,-89,-88,-66,-65,-69,-68,-68,-67,-67,-66,-75,-74,-78,-78,-80,-79,-83,-84,-89,-88,-89,-89,-65,-65,-64,-63,-69,-68,-67,-66,-75,-74,-75,-75,-72,-72,-78,-78,-85,-85,-85,-85,-87,-86,-84,-84,-65,-65,-66,-65,-69,-69,-85,-85,-83,-82,-88,-88,-63,-63,-68,-67,-69,-68,-68,-67,-73,-73,-79,-78,-78,-77,-65,-64,-67,-66,-64,-63,-81,-81,-86,-86,-85,-84,-85,-85,-88,-87,-88,-87,-63,-63,-65,-64,-69,-69,-75,-75,-79,-78,-77,-76,-65,-65,-69,-68,-68,-67,-86,-86,-85,-84,-87,-87,-86,-85,-82,-82,-89,-88,-88,-88,-65,-65,-69,-68,-68,-67,-84,-83,-89,-89,-85,-84,-67,-67,-64,-64,-70,-69,-67,-66,-65,-64,-69,-68,-69,-68
200,-82,-82,-88,-87,-89,-88,-66,-65,-69,-68,-68,-67,-67,-66,-75,-74,-78,-78,-80,-79,-83,-84,-89,-88,-89,-89,-65,-65,-64,-63,-69,-68,-67,-66,-75,-74,-75,-75,-72,-72,-78,-78,-85,-85,-85,-85,-87,-86,-84,-84,-65,-65,-66,-65,-69,-69,-85,-85,-83,-82,-88,-88,-63,-63,-68,-67,-69,-68,-68,-67,-73,-73,-79,-78,-78,-77,-65,-64,-67,-66,-64,-63,-81,-81,-86,-86,-85,-84,-85,-85,-88,-87,-88,-87,-63,-63,-65,-64,-69,-69,-75,-75,-79,-78,-77,-76,-65,-65,-69,-68,-68,-67,-86,-86,-85,-84,-87,-87,-86,-85,-82,-82,-89,-88,-88,-88,-65,-65,-69,-68,-68,-67,-84,-83,-89,-89,-85,-84,-67,-67,-64,-64,-70,-69,-67,-66,-65,-64,-69,-68,-69,-68
300,-82,-82,-88,-87,-89,-88,-66,-65,-69,-68,-68,-67,-67,-66,-75,-74,-78,-78,-80,-79,-83,-84,-89,-88,-89,-89,-65,-65,-64,-63,-69,-68,-67,-66,-75,-74,-75,-75,-72,-72,-78,-77,-85,-85,-85,-85,-87,-86,-84,-84,-65,-65,-66,-65,-69,-69,-85,-85,-83,-82,-88,-88,-63,-63,-68,-67,-69,-68,-68,-67,-73,-73,-79,-78,-78,-77,-65,-64,-67,-66,-64,-63,-81,-81,-86,-86,-85,-84,-85,-85,-88,-87,-88,-87,-63,-63,-65,-64,-69,-69,-75,-75,-79,-78,-77,-76,-65,-65,-69,-68,-68,-67,-86,-86,-85,-84,-87,-87,-86,-85,-82,-82,-89,-88,-88,-88,-65,-64,-69,-68,-68,-67,-84,-83,-89,-89,-85,-84,-67,-67,-64,-64,-70,-69,-67,-66,-65,-64,-69,-68,-69,-68
400,-82,-82,-88,-87,-89,-88,-66,-65,-69,-68,-68,-67,-67,-66,-75,-74,-78,-78,-80,-79,-83,-84,-89,-88,-89,-89,-65,-65,-64,-63,-69,-68,-67,-66,-75,-74,-75,-75,-72,-72,-78,-77,-85,-85,-85,-85,-87,-86,-84,-84,-65,-65,-66,-65,-69,-69,-85,-85,-83,-82,-88,-88,-63,-63,-68,-67,-68,-68,-68,-67,-73,-73,-79,-78,-78,-77,-65,-64,-67,-66,-64,-63,-81,-81,-86,-86,-85,-84,-85,-85,-88,-87,-88,-87,-63,-63,-65,-64,-69,-69,-75,-75,-79,-78,-77,-76,-65,-65,-69,-68,-68,-67,-86,-86,-85,-84,-87,-87,-86,-85,-82,-82,-89,-88,-88,-88,-65,-64,-69,-68,-68,-67,-84,-83,-89,-89,-85,-84,-67,-67,-64,-64,-70,-69,-67,-66,-65,-64,-69,-68,-69,-68
500,-82,-82,-88,-87,-89,-88,-66,-65,-69,-68,-68,-67,-67,-66,-75,-74,-78,-78,-80,-79,-83,-84,-89,-88,-89,-89,-65,-65,-64,-63,-69,-68,-67,-66,-75,-74,-75,-75,-72,-72,-78,-77,-85,-85,-85,-85,-87,-86,-84,-84,-65,-65,-66,-65,-69,-69,-85,-85,-83,-82,-88,-88,-63,-63,-68,-67,-68,-68,-68,-67,-73,-73,-79,-78,-78,-77,-65,-64,-66,-66,-64,-63,-81,-81,-86,-86,-85,-84,-85,-85,-88,-87,-88,-87,-63,-63,-65,-64,-69,-69,-75,-75,-79,-78,-77,-76,-65,-65,-69,-68,-68,-67,-86,-86,-85,-84,-87,-87,-86,-85,-82,-82,-89,-88,-88,-88,-65,-64,-69,-68,-68,-67,-84,-83,-89,-89,-85,-84,-67,-67,-64,-64,-70,-69,-67,-66,-65,-64,-69,-68,-69,-68
600,-82,-82,-88,-87,-89,-88,-66,-65,-69,-68,-68,-67,-67,-66,-75,-74,-78,-78,-80,-79,-83,-84,-89,-88,-89,-89,-65,-65,-64,-63,-69,-68,-67,-66,-75,-74,-75,-75,-72,-72,-78,-77,-85,-85,-85,-85,-87,-86,-84,-84,-65,-65,-66,-65,-69,-69,-85,-85,-83,-82,-88,-88,-63,-63,-68,-67,-68,-67,-68,-67,-73,-73,-79,-78,-78,-77,-65,-64,-66,-66,-64,-63,-81,-81,-86,-86,-85,-84,-85,-85,-88,-87,-88,-87,-63,-63,-65,-64,-69,-69,-75,-75,-79,-78,-77,-76,-65,-64,-69,-68,-68,-67,-86,-86,-85,-84,-87,-87,-86,-85,-82,-82,-89,-88,-88,-88,-65,-64,-69,-68,-68,-67,-84,-83,-89,-89,-85,-84,-67,-67,-64,-64,-70,-69,-67,-66,-65,-64,-69,-68,-69,-68
700,-82,-82,-88,-87,-89,-88,-66,-65,-69,-68,-68,-67,-67,-66,-75,-74,-78,-78,-80,-79,-83,-84,-89,-88,-89,-89,-65,-65,-64,-63,-69,-68,-67,-66,-75,-74,-75,-75,-72,-72,-78,-78,-85,-85,-85,-85,-87,-86,-84,-84,-65,-65,-66,-65,-69,-69,-85,-85,-83,-82,-88,-88,-63,-63,-68,-67,-68,-67,-68,-67,-73,-73,-79,-78,-78,-77,-65,-64,-66,-66,-64,-63,-81,-81,-86,-86,-85,-84,-85,-85,-88,-87,-88,-87,-63,-63,-65,-64,-69,-69,-75,-75,-79,-78,-77,-76,-65,-64,-69,-68,-68,-67,-86,-86,-85,-84,-87,-87,-86,-85,-82,-82,-89,-88,-88,-88,-65,-64,-69,-68,-68,-67,-84,-83,-89,-89,-85,-84,-67,-67,-64,-64,-70,-69,-67,-66,-65,-64,-69,-68,-69,-68
800,-82,-82,-88,-87,-89,-88,-66,-65,-69,-68,-68,-67,-67,-66,-75,-74,-78,-78,-80,-79,-83,-84,-89,-88,-89,-89,-65,-65,-64,-63,-69,-68,-67,-66,-75,-74,-75,-75,-72,-72,-78,-78,-85,-85,-85,-85,-87,-86,-84,-84,-65,-65,-66,-65,-69,-69,-85,-85,-83,-82,-88,-88,-63,-63,-68,-67,-68,-67,-68,-67,-73,-73,-79,-78,-78,-77,-65,-64,-66,-66,-64,-63,-81,-81,-86,-86,-85,-84,-85,-85,-88,-87,-88,-87,-63,-63,-65,-64,-69,-69,-75,-75,-79,-78,-77,-76,-65,-64,-69,-68,-68,-67,-86,-86,-85,-84,-87,-87,-86,-85,-82,-82,-89,-88,-88,-88,-65,-64,-69,-68,-68,-67,-84,-83,-89,-89,-85,-84,-67,-67,-64,-64,-70,-69,-67,-66,-65,-64,-69,-68,-69,-68
900,-82,-82,-87,-87,-89,-88,-66,-65,-69,-68,-68,-67,-67,-66,-75,-74,-78,-78,-80,-79,-83,-84,-89,-88,-89,-89,-65,-65,-64,-63,-69,-68,-67,-66,-75,-74,-75,-75,-72,-72,-78,-78,-85,-85,-85,-85,-87,-86,-84,-84,-65,-65,-66,-65,-69,-69,-85,-85,-83,-82,-88,-88,-63,-63,-68,-67,-68,-67,-68,-67,-73,-73,-79,-78,-78,-77,-65,-64,-66,-66,-64,-63,-81,-81,-86,-86,-85,-84,-85,-85,-88,-87,-88,-87,-63,-63,-65,-64,-69,-69,-75,-75,-79,-78,-77,-76,-65,-64,-69,-68,-68,-67,-86,-86,-85,-84,-87,-87,-86,-85,-82,-82,-89,-88,-88,-88,-65,-64,-69,-68,-68,-67,-84,-83,-89,-89,-85,-84,-67,-67,-64,-64,-70,-69,-67,-66,-65,-64,-69,-68,-69,-68
1000,-82,-82,-87,-87,-89,-88,-66,-65,-69,-68,-68,-67,-67,-66,-75,-74,-78,-78,-80,-79,-83,-84,-89,-88,-89,-89,-65,-65,-64,-63,-69,-68,-67,-66,-75,-74,-75,-75,-72,-72,-78,-77,-85,-85,-85,-85,-87,-86,-84,-84,-65,-65,-66,-65,-69,-69,-85,-85,-83,-82,-88,-88,-63,-63,-68,-67,-68,-67,-68,-67,-73,-73,-79,-78,-78,-77,-65,-64,-66,-66,-64,-63,-81,-81,-86,-86,-85,-84,-85,-85,-88,-87,-88,-87,-63,-63,-65,-64,-69,-69,-75,-75,-79,-78,-77,-76,-65,-64,-69,-68,-68,-67,-86,-86,-85,-84,-87,-86,-86,-85,-82,-82,-89,-88,-88,-88,-65,-64,-69,-68,-68,-67,-84,-83,-89,-89,-85,-84,-67,-67,-64,-64,-70,-69,-67,-66,-65,-64,-69,-68,-69,-68
1100,-82,-82,-87,-87,-89,-88,-66,-65,-69,-68,-68,-67,-67,-66,-75,-74,-78,-78,-80,-79,-83,-84,-89,-88,-89,-89,-65,-65,-64,-63,-69,-68,-67,-66,-74,-74,-75,-75,-72,-72,-78,-77,-85,-85,-85,-85,-86,-86,-84,-84,-65,-65,-66,-65,-69,-69,-85,-85,-83,-82,-88,-88,-63,-63,-68,-67,-68,-67,-68,-67,-73,-73,-79,-78,-78,-77,-65,-64,-66,-66,-64,-63,-81,-81,-86,-86,-85,-84,-85,-85,-88,-87,-88,-87,-63,-63,-65,-64,-69,-69,-75,-75,-79,-78,-77,-76,-65,-64,-69,-68,-68,-67,-86,-86,-85,-84,-87,-86,-86,-85,-82,-82,-89,-88,-88,-87,-65,-64,-69,-68,-68,-67,-84,-83,-89,-89,-85,-84,-67,-67,-64,-64,-70,-69,-67,-66,-65,-64,-69,-68,-69,-68
1200,-82,-82,-87,-87,-89,-88,-66,-65,-69,-68,-68,-67,-67,-66,-75,-74,-78,-78,-80,-79,-83,-84,-88,-88,-89,-89,-65,-65,-64,-63,-69,-68,-67,-66,-74,-74,-75,-75,-72,-72,-78,-77,-85,-85,-85,-85,-86,-86,-84,-84,-65,-65,-66,-65,-69,-69,-85,-85,-83,-82,-88,-88,-63,-63,-68,-67,-68,-67,-68,-67,-73,-73,-79,-78,-78,-77,-65,-64,-66,-66,-64,-63,-81,-81,-86,-86,-85,-84,-85,-85,-88,-87,-88,-87,-63,-63,-65,-64,-69,-69,-75,-75,-79,-78,-77,-76,-65,-64,-69,-68,-68,-67,-86,-86,-85,-84,-87,-86,-86,-85,-82,-82,-89,-88,-88,-87,-65,-64,-69,-68,-68,-67,-84,-83,-89,-89,-85,-84,-67,-67,-64,-64,-70,-69,-66,-66,-65,-64,-69,-68,-69,-68
1300,-82,-82,-87,-87,-89,-88,-66,-65,-69,-68,-68,-67,-67,-66,-75,-74,-78,-78,-80,-79,-83,-84,-88,-88,-89,-89,-65,-65,-64,-63,-69,-68,-67,-66,-74,-74,-75,-75,-72,-72,-78,-77,-85,-85,-85,-85,-86,-86,-84,-84,-65,-65,-66,-65,-69,-69,-85,-85,-83,-82,-88,-88,-63,-63,-68,-67,-68,-67,-68,-67,-73,-73,-79,-78,-78,-77,-65,-64,-66,-66,-64,-63,-81,-81,-86,-86,-85,-84,-85,-85,-88,-87,-88,-87,-63,-63,-65,-64,-69,-69,-75,-75,-79,-78,-77,-76,-65,-64,-69,-68,-68,-67,-86,-86,-85,-84,-87,-86,-86,-85,-82,-82,-89,-88,-88,-87,-65,-64,-69,-68,-68,-67,-84,-83,-89,-89,-85,-84,-67,-67,-64,-64,-70,-69,-66,-66,-65,-64,-69,-68,-69,-68
